mutation_signature,gene_name,mirna_family,upregulating_hits_pct,total_hits,upregulating_hits,stats_log2fc_mean,gene_is_brca_driver,gene_is_onc,gene_is_tsupp,subtype_matches,mirna_is_onc,mirna_is_tsupp,mirna_upreg_in_brca,mirna_downreg_in_brca,binding_tendency,number_binding,number_not_binding,gene_type,is_cancer_promoting,mirna_true_conditions,triplet_behavior,triplet_id
SBS1,TP53,miR-3960/8072,100.0,11,11,1.6362988385966426,True,True,True,False,False,False,False,False,0.0,0,11,DualRole,True,,fully_upregulating,SBS1_TP53_miR-3960/8072
SBS5,CCDC183,miR-3689a-5p/3689b-5p/3689e/3689f,0.0,8,0,-2.321928094887362,False,False,False,False,False,False,False,False,100.0,8,0,Other,False,,fully_downregulating,SBS5_CCDC183_miR-3689a-5p/3689b-5p/3689e/3689f
SBS5,TP53,miR-4783-3p,100.0,7,7,1.6362988385966426,True,True,True,False,False,False,False,False,0.0,0,7,DualRole,True,,fully_upregulating,SBS5_TP53_miR-4783-3p
SBS1,TP53,miR-4534/8082,0.0,6,0,1.6362988385966426,True,True,True,False,False,False,False,False,100.0,6,0,DualRole,True,,fully_downregulating,SBS1_TP53_miR-4534/8082
SBS1,TP53,miR-7108-5p,0.0,6,0,1.6362988385966426,True,True,True,False,False,False,False,False,100.0,6,0,DualRole,True,,fully_downregulating,SBS1_TP53_miR-7108-5p
SBS5,CCDC183,miR-30-5p,0.0,6,0,-2.321928094887362,False,False,False,False,False,True,True,True,100.0,6,0,Other,False,"mirna_is_tsupp, mirna_upreg_in_brca, mirna_downreg_in_brca",fully_downregulating,SBS5_CCDC183_miR-30-5p
SBS1,TP53,miR-4710,16.666666666666664,6,1,1.6362988385966426,True,True,True,False,False,False,False,False,83.33333333333334,5,1,DualRole,True,,strongly_downregulating,SBS1_TP53_miR-4710
SBS5,RP11-864N7.2,miR-6782-5p,66.66666666666666,6,4,3.3975923648194346,False,False,False,False,False,False,False,False,33.33333333333334,2,4,Other,False,,upregulating,SBS5_RP11-864N7.2_miR-6782-5p
SBS5,TP53,miR-196-5p,100.0,6,6,1.6362988385966426,True,True,True,False,False,False,False,False,0.0,0,6,DualRole,True,,fully_upregulating,SBS5_TP53_miR-196-5p
SBS1,TP53,miR-1268a/1268b,0.0,5,0,1.6362988385966424,True,True,True,False,False,False,False,False,100.0,5,0,DualRole,True,,fully_downregulating,SBS1_TP53_miR-1268a/1268b
SBS1,TP53,miR-2392,0.0,5,0,1.6362988385966424,True,True,True,False,False,False,False,False,100.0,5,0,DualRole,True,,fully_downregulating,SBS1_TP53_miR-2392
SBS1,TP53,miR-3064-5p,0.0,5,0,1.6362988385966424,True,True,True,False,False,False,False,False,100.0,5,0,DualRole,True,,fully_downregulating,SBS1_TP53_miR-3064-5p
SBS1,TP53,miR-6765-5p,0.0,5,0,1.6362988385966424,True,True,True,False,False,False,False,False,100.0,5,0,DualRole,True,,fully_downregulating,SBS1_TP53_miR-6765-5p
SBS1,TP53,miR-8056,0.0,5,0,1.6362988385966424,True,True,True,False,False,False,False,False,100.0,5,0,DualRole,True,,fully_downregulating,SBS1_TP53_miR-8056
SBS3,CCND1,miR-17-5p/20-5p/93-5p/106-5p/519-3p,0.0,5,0,-2.0263341478134627,False,True,False,False,True,False,True,False,100.0,5,0,Oncogene,False,"mirna_is_onc, mirna_upreg_in_brca",fully_downregulating,SBS3_CCND1_miR-17-5p/20-5p/93-5p/106-5p/519-3p
